event_id,household_id,stock_id,product_id,product_name,action_type,quantity,timestamp,expiry_date,classification,location,category_name,dias_para_vencer,nutriscore,calories_100g,proteins_100g,carbs_100g
72e06c32-b,7,dc756304,5876,Organic Lemon,OUT,2,2026-02-24T02:27:36.000000,2026-02-27,Consumption,Refrigerador,Frutas y Verduras,3,D,300.0,0.0,6.67
d1d9eb4b-2,0,e1190093,21903,Organic Baby Spinach,IN,3,2026-04-27T11:20:36.000000,2026-05-04,Purchase,Refrigerador,Frutas y Verduras,7,A,23.0,2.68,3.36
bda60c97-7,5,41cdf78d,41950,Organic Tomato Cluster,IN,2,2026-03-26T22:38:36.000000,2026-04-02,Purchase,Refrigerador,Frutas y Verduras,7,A,28.0,2.98,5.06
7148080b-c,2,45900a02,46979,Asparagus,OUT,1,2026-04-06T08:16:36.000000,2026-04-09,Consumption,Refrigerador,Frutas y Verduras,3,A,18.0,2.35,3.53
d38951ee-b,0,542b0740,27845,Organic Whole Milk,IN,3,2026-03-24T18:24:36.000000,2026-04-05,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,62.0,3.39,5.08
ac594251-b,4,4d1e744d,9076,Blueberries,OUT,2,2026-03-09T04:18:36.000000,2026-03-20,Consumption,Despensa,Despensa General,11,B,57.0,0.71,12.1
14209ef3-a,9,65369bc9,4605,Yellow Onions,IN,3,2026-02-17T14:23:36.000000,2026-02-24,Purchase,Refrigerador,Frutas y Verduras,7,A,30.0,0.68,7.43
a4a6d2d6-3,4,f86b705c,19660,Spring Water,IN,2,2026-02-20T07:49:36.000000,2026-03-22,Purchase,Estante,Bebidas,30,A,0.0,0.0,0.0
547f5a4b-f,3,72804cd2,27845,Organic Whole Milk,OUT,3,2026-02-26T23:47:36.000000,2026-03-04,Consumption,Refrigerador,Lacteos y Refrigerados,6,B,62.0,3.39,5.08
ffc3a83b-1,6,85b069c5,22935,Organic Yellow Onion,OUT,1,2026-04-02T23:59:59.000000,2026-03-30,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,30.0,0.68,7.43
9532651d-6,2,d257b1a3,45066,Honeycrisp Apple,OUT,1,2026-03-10T23:59:59.000000,2026-03-07,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,2.0,0.0,3.81
aa775505-2,9,66d6a628,37646,Organic Gala Apples,OUT,2,2026-02-20T22:03:36.000000,2026-02-27,Consumption,Refrigerador,Frutas y Verduras,7,B,52.0,0.32,14.3
5c5e8ad7-2,3,42c671d8,26209,Limes,IN,3,2026-04-24T14:07:36.000000,2026-05-01,Purchase,Refrigerador,Frutas y Verduras,7,A,30.0,0.0,10.4
dfda9ab6-e,1,f3324390,26604,Organic Blackberries,OUT,1,2026-04-11T13:22:36.000000,2026-04-15,Consumption,Refrigerador,Frutas y Verduras,4,B,59.0,1.47,15.4
b7ec781c-5,5,5f55d4e0,19057,Organic Large Extra Fancy Fuji Apple,OUT,3,2026-02-23T21:47:36.000000,2026-02-25,Consumption,Refrigerador,Frutas y Verduras,2,,,0.148,15.7
9846486d-6,5,2f91904c,27086,Half & Half,OUT,2,2026-04-14T17:51:36.000000,2026-04-18,Consumption,Refrigerador,Lacteos y Refrigerados,4,B,131.0,3.13,4.3
6695d4ec-2,6,c0ea9b1b,22935,Organic Yellow Onion,OUT,1,2026-03-03T13:39:36.000000,2026-03-04,Consumption,Refrigerador,Frutas y Verduras,1,A,30.0,0.68,7.43
18ee7e03-1,6,ed03a363,47766,Organic Avocado,OUT,1,2026-03-10T23:59:59.000000,2026-03-07,Forced_Waste,Refrigerador,Frutas y Verduras,-3,D,427.0,1.9,7.36
dd13c18b-3,7,21939a7b,19057,Organic Large Extra Fancy Fuji Apple,IN,1,2026-04-19T07:01:36.000000,2026-04-26,Purchase,Refrigerador,Frutas y Verduras,7,,,0.148,15.7
bf20eca5-6,9,39e0ce14,24852,Banana,IN,2,2026-02-16T16:05:36.000000,2026-02-23,Purchase,Refrigerador,Frutas y Verduras,7,D,312.0,12.5,40.6
dcdd7d5b-e,4,69e48b46,39877,Organic Granny Smith Apple,OUT,1,2026-04-02T07:05:36.000000,2026-04-07,Consumption,Refrigerador,Frutas y Verduras,5,,,0.266,14.1
f5f7eca6-c,5,5d0e9bfc,37646,Organic Gala Apples,IN,2,2026-03-26T22:30:36.000000,2026-04-02,Purchase,Refrigerador,Frutas y Verduras,7,B,52.0,0.32,14.3
ef030549-f,4,5b018b2a,22935,Organic Yellow Onion,OUT,1,2026-02-24T23:59:59.000000,2026-02-21,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,30.0,0.68,7.43
bc1d881e-7,9,def69df6,21616,Organic Baby Arugula,OUT,1,2026-02-16T15:55:36.000000,2026-02-19,Consumption,Refrigerador,Frutas y Verduras,3,A,25.0,2.82,3.52
9cef6dd8-5,9,7cc0896d,8518,Organic Red Onion,IN,1,2026-03-29T13:17:36.000000,2026-04-05,Purchase,Refrigerador,Frutas y Verduras,7,A,30.0,0.68,6.76
763d42c5-8,1,5a2ce49d,35951,Organic Unsweetened Almond Milk,OUT,3,2026-02-20T22:41:36.000000,2026-03-01,Consumption,Refrigerador,Lacteos y Refrigerados,9,A,15.0,0.55,0.34
95d7e552-6,6,31b93e04,44359,Organic Small Bunch Celery,OUT,1,2026-04-30T17:58:36.000000,2026-05-05,Consumption,Refrigerador,Frutas y Verduras,5,D,392.0,7.43,76.25
9882c858-5,4,957e9b40,19057,Organic Large Extra Fancy Fuji Apple,OUT,3,2026-02-24T23:59:59.000000,2026-02-21,Forced_Waste,Refrigerador,Frutas y Verduras,-3,,,0.148,15.7
b5baf97e-9,3,44dd941c,17794,Carrots,OUT,1,2026-03-24T23:59:59.000000,2026-03-21,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,38.0,1.28,8.97
ebc3914f-d,4,7f6fc65d,9076,Blueberries,OUT,2,2026-03-24T01:29:36.000000,2026-04-02,Consumption,Despensa,Despensa General,9,B,57.0,0.71,12.1
e922b531-3,7,56f48a8f,49683,Cucumber Kirby,OUT,1,2026-04-01T06:53:36.000000,2026-04-01,Consumption,Refrigerador,Frutas y Verduras,0,A,34.0,0.5,6.79
5561f6b1-7,1,9fadba38,49235,Organic Half & Half,IN,1,2026-02-23T21:33:36.000000,2026-03-07,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,131.0,3.13,4.3
f420c763-9,2,b8ea21e0,35951,Organic Unsweetened Almond Milk,IN,3,2026-02-28T06:51:36.000000,2026-03-12,Purchase,Refrigerador,Lacteos y Refrigerados,12,A,15.0,0.55,0.34
d04b52db-3,9,1901c7ac,47626,Large Lemon,OUT,2,2026-02-28T19:31:36.000000,2026-03-06,Consumption,Refrigerador,Frutas y Verduras,6,B,55.0,10.7,2.36
938d040a-6,0,432a9172,40706,Organic Grape Tomatoes,OUT,1,2026-05-01T14:01:36.000000,2026-05-08,Consumption,Refrigerador,Frutas y Verduras,7,A,36.0,1.19,7.14
dc8b7786-0,1,8c6f03ec,45007,Organic Zucchini,OUT,1,2026-03-18T23:59:59.000000,2026-03-15,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,21.0,1.05,4.21
777b0de9-1,5,3a9a7cd3,41950,Organic Tomato Cluster,IN,1,2026-04-03T13:41:36.000000,2026-04-10,Purchase,Refrigerador,Frutas y Verduras,7,A,28.0,2.98,5.06
08d644c2-9,1,a60cb3f2,28204,Organic Fuji Apple,IN,1,2026-04-20T11:55:36.000000,2026-04-27,Purchase,Refrigerador,Frutas y Verduras,7,D,400.0,0.0,90.0
d0322473-b,9,3417fb44,13176,Bag of Organic Bananas,OUT,2,2026-03-09T23:59:59.000000,2026-03-06,Forced_Waste,Refrigerador,Frutas y Verduras,-3,D,346.0,3.89,88.3
2fa9af7a-3,1,967e45e4,42265,Organic Baby Carrots,OUT,2,2026-04-28T13:55:36.000000,2026-05-05,Consumption,Refrigerador,Frutas y Verduras,7,A,35.0,1.18,8.24
c67f96bf-2,4,32924b5b,5077,100% Whole Wheat Bread,IN,3,2026-02-04T13:29:36.000000,2026-02-18,Purchase,Despensa,Panaderia y Granos,14,C,256.0,11.6,48.8
2a346efe-1,0,a8390fb5,4605,Yellow Onions,OUT,1,2026-03-26T05:53:36.000000,2026-03-31,Consumption,Refrigerador,Frutas y Verduras,5,A,30.0,0.68,7.43
a0137dd1-6,0,8842f710,26209,Limes,OUT,1,2026-02-20T05:57:36.000000,2026-02-25,Consumption,Refrigerador,Frutas y Verduras,5,A,30.0,0.0,10.4
c178d968-9,7,918fa7dd,22935,Organic Yellow Onion,OUT,1,2026-03-16T20:37:36.000000,2026-03-17,Consumption,Refrigerador,Frutas y Verduras,1,A,30.0,0.68,7.43
9f988db5-b,8,1c8eec9f,21616,Organic Baby Arugula,OUT,1,2026-03-09T10:40:36.000000,2026-03-07,Waste,Refrigerador,Frutas y Verduras,-2,A,25.0,2.82,3.52
9a8b351b-e,8,2bdabeb3,41950,Organic Tomato Cluster,IN,2,2026-04-25T07:42:36.000000,2026-05-02,Purchase,Refrigerador,Frutas y Verduras,7,A,28.0,2.98,5.06
edce8bf6-0,2,6719c6d6,47766,Organic Avocado,OUT,2,2026-03-25T23:59:59.000000,2026-03-22,Forced_Waste,Refrigerador,Frutas y Verduras,-3,D,427.0,1.9,7.36
5bd3d2d3-b,1,5f78815b,19057,Organic Large Extra Fancy Fuji Apple,IN,2,2026-02-08T22:26:36.000000,2026-02-15,Purchase,Refrigerador,Frutas y Verduras,7,,,0.148,15.7
e699460a-d,5,fce784eb,49683,Cucumber Kirby,IN,3,2026-03-01T20:31:36.000000,2026-03-08,Purchase,Refrigerador,Frutas y Verduras,7,A,34.0,0.5,6.79
e0cc6197-3,5,54c0055f,9076,Blueberries,IN,1,2026-04-18T06:50:36.000000,2026-05-02,Purchase,Despensa,Despensa General,14,B,57.0,0.71,12.1
e25f1d76-0,1,3b55243f,16797,Strawberries,IN,2,2026-02-24T09:32:36.000000,2026-03-03,Purchase,Refrigerador,Frutas y Verduras,7,,,1.43,8.57
ed292c60-1,7,1b025f63,4920,Seedless Red Grapes,OUT,1,2026-03-13T17:04:36.000000,2026-03-16,Consumption,Refrigerador,Frutas y Verduras,3,B,71.0,1.18,17.6
9c983c57-7,1,d4fc87c8,46979,Asparagus,OUT,1,2026-04-20T23:59:59.000000,2026-04-17,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,18.0,2.35,3.53
1cd4bf12-3,2,5f417cf6,43352,Raspberries,IN,1,2026-02-21T14:15:36.000000,2026-02-28,Purchase,Refrigerador,Frutas y Verduras,7,B,50.0,1.43,12.1
c196e2bc-f,6,1a834381,21616,Organic Baby Arugula,OUT,1,2026-03-11T21:23:36.000000,2026-03-11,Consumption,Refrigerador,Frutas y Verduras,0,A,25.0,2.82,3.52
314e7e65-e,7,3afec40e,44359,Organic Small Bunch Celery,OUT,1,2026-04-16T14:25:36.000000,2026-04-20,Consumption,Refrigerador,Frutas y Verduras,4,D,392.0,7.43,76.25
3efa6084-0,5,f6867371,10749,Organic Red Bell Pepper,IN,1,2026-03-23T09:22:36.000000,2026-03-30,Purchase,Refrigerador,Frutas y Verduras,7,,,0.896,6.65
8dafc8a4-c,6,8ad82ff4,41950,Organic Tomato Cluster,IN,1,2026-04-05T21:47:36.000000,2026-04-12,Purchase,Refrigerador,Frutas y Verduras,7,A,28.0,2.98,5.06
4a28535d-4,4,4c2b1418,16797,Strawberries,IN,1,2026-03-04T10:05:36.000000,2026-03-11,Purchase,Refrigerador,Frutas y Verduras,7,,,1.43,8.57
e10d98e3-8,5,d9f00613,27966,Organic Raspberries,IN,2,2026-02-10T11:54:36.000000,2026-02-17,Purchase,Refrigerador,Frutas y Verduras,7,B,50.0,1.43,12.1
69a55a7d-b,8,c13aee39,49235,Organic Half & Half,IN,3,2026-04-01T17:22:36.000000,2026-04-13,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,131.0,3.13,4.3
0223b39f-8,7,395cb134,44359,Organic Small Bunch Celery,IN,1,2026-03-30T09:43:36.000000,2026-04-06,Purchase,Refrigerador,Frutas y Verduras,7,D,392.0,7.43,76.25
4a34373a-2,3,0e579f7f,5876,Organic Lemon,IN,2,2026-04-03T10:14:36.000000,2026-04-10,Purchase,Refrigerador,Frutas y Verduras,7,D,300.0,0.0,6.67
1c48c4ef-1,7,d6be6f03,4920,Seedless Red Grapes,OUT,1,2026-03-07T19:54:36.000000,2026-03-10,Consumption,Refrigerador,Frutas y Verduras,3,B,71.0,1.18,17.6
221e2b46-c,6,4e119201,4920,Seedless Red Grapes,IN,3,2026-03-13T14:49:36.000000,2026-03-20,Purchase,Refrigerador,Frutas y Verduras,7,B,71.0,1.18,17.6
fafc839e-3,8,435ca0e7,27104,Fresh Cauliflower,IN,1,2026-04-06T13:59:36.000000,2026-04-13,Purchase,Refrigerador,Frutas y Verduras,7,B,52.0,1.94,5.01
50e87860-b,4,2a6a6ff8,19057,Organic Large Extra Fancy Fuji Apple,OUT,2,2026-02-17T10:55:36.000000,2026-02-16,Waste,Refrigerador,Frutas y Verduras,-1,,,0.148,15.7
730a60d6-f,2,7dce08dc,31717,Organic Cilantro,IN,2,2026-02-21T20:03:36.000000,2026-02-28,Purchase,Refrigerador,Frutas y Verduras,7,A,0.0,0.0,0.0
f41397da-4,3,02fe8e4f,24964,Organic Garlic,OUT,1,2026-04-14T06:39:36.000000,2026-04-19,Consumption,Refrigerador,Frutas y Verduras,5,C,167.0,0.0,33.3
04924023-2,5,d5a8dbca,24964,Organic Garlic,OUT,1,2026-02-11T23:59:59.000000,2026-02-08,Forced_Waste,Refrigerador,Frutas y Verduras,-3,C,167.0,0.0,33.3
c776715a-e,1,da65ad0b,45007,Organic Zucchini,IN,3,2026-02-17T00:57:36.000000,2026-02-24,Purchase,Refrigerador,Frutas y Verduras,7,A,21.0,1.05,4.21
13599cb8-c,9,22075707,45066,Honeycrisp Apple,IN,1,2026-03-09T12:14:36.000000,2026-03-16,Purchase,Refrigerador,Frutas y Verduras,7,A,2.0,0.0,3.81
9229f95b-7,6,b84d2baa,16797,Strawberries,IN,3,2026-05-01T11:31:36.000000,2026-05-08,Purchase,Refrigerador,Frutas y Verduras,7,,,1.43,8.57
942b1f9b-b,7,91776e3f,24964,Organic Garlic,IN,1,2026-04-02T23:25:36.000000,2026-04-09,Purchase,Refrigerador,Frutas y Verduras,7,C,167.0,0.0,33.3
31b725ba-e,2,db918250,4605,Yellow Onions,OUT,2,2026-04-13T23:26:36.000000,2026-04-19,Consumption,Refrigerador,Frutas y Verduras,6,A,30.0,0.68,7.43
d5f5708c-8,9,9e69b51d,45007,Organic Zucchini,OUT,1,2026-03-04T15:57:36.000000,2026-03-04,Consumption,Refrigerador,Frutas y Verduras,0,A,21.0,1.05,4.21
35932327-1,6,7df83c10,4605,Yellow Onions,OUT,1,2026-04-06T23:59:59.000000,2026-04-03,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,30.0,0.68,7.43
c97f9086-e,6,7637b987,45066,Honeycrisp Apple,IN,1,2026-03-26T16:25:36.000000,2026-04-02,Purchase,Refrigerador,Frutas y Verduras,7,A,2.0,0.0,3.81
1f16280d-c,4,9d702074,5876,Organic Lemon,IN,1,2026-02-20T13:08:36.000000,2026-02-27,Purchase,Refrigerador,Frutas y Verduras,7,D,300.0,0.0,6.67
44c7a45a-0,7,e5020362,16797,Strawberries,IN,2,2026-02-27T13:53:36.000000,2026-03-06,Purchase,Refrigerador,Frutas y Verduras,7,,,1.43,8.57
3e4e0196-0,8,e0acbed9,35951,Organic Unsweetened Almond Milk,IN,1,2026-03-19T07:44:36.000000,2026-03-31,Purchase,Refrigerador,Lacteos y Refrigerados,12,A,15.0,0.55,0.34
6d979e91-1,4,0a9eaca1,17794,Carrots,OUT,1,2026-03-09T23:59:59.000000,2026-03-06,Forced_Waste,Refrigerador,Frutas y Verduras,-3,A,38.0,1.28,8.97
685c30b3-4,2,399cc43b,13176,Bag of Organic Bananas,OUT,1,2026-03-09T23:59:59.000000,2026-03-06,Forced_Waste,Refrigerador,Frutas y Verduras,-3,D,346.0,3.89,88.3
3acddc30-3,1,f3cb066d,16797,Strawberries,OUT,2,2026-04-16T16:11:36.000000,2026-04-19,Consumption,Refrigerador,Frutas y Verduras,3,,,1.43,8.57
a083c648-0,3,62688f67,45007,Organic Zucchini,IN,1,2026-03-31T11:40:36.000000,2026-04-07,Purchase,Refrigerador,Frutas y Verduras,7,A,21.0,1.05,4.21
bf954369-6,8,7dcf87b8,8518,Organic Red Onion,IN,3,2026-03-19T07:51:36.000000,2026-03-26,Purchase,Refrigerador,Frutas y Verduras,7,A,30.0,0.68,6.76
d68a6575-c,5,b4dc6d86,13176,Bag of Organic Bananas,OUT,1,2026-03-15T16:52:36.000000,2026-03-20,Consumption,Refrigerador,Frutas y Verduras,5,D,346.0,3.89,88.3
cdcd85de-4,4,9dc4eeb0,44632,Sparkling Water Grapefruit,OUT,1,2026-03-24T03:15:36.000000,2026-04-10,Consumption,Estante,Bebidas,17,A,36.0,0.58,9.15
20b9c5b1-3,3,4d3e66b6,41950,Organic Tomato Cluster,OUT,3,2026-05-01T20:45:36.000000,2026-05-08,Consumption,Refrigerador,Frutas y Verduras,7,A,28.0,2.98,5.06
57e9eb23-e,1,370bff21,27086,Half & Half,IN,1,2026-02-23T10:01:36.000000,2026-03-07,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,131.0,3.13,4.3
175f55ef-0,4,ef211e0f,47626,Large Lemon,OUT,1,2026-04-23T16:53:36.000000,2026-04-26,Consumption,Refrigerador,Frutas y Verduras,3,B,55.0,10.7,2.36
60250ac4-4,6,9e769fa3,28985,Michigan Organic Kale,IN,2,2026-03-02T09:37:36.000000,2026-03-09,Purchase,Refrigerador,Frutas y Verduras,7,A,35.0,2.92,4.42
9e869ab5-c,5,d2278cfa,49235,Organic Half & Half,IN,1,2026-02-14T11:10:36.000000,2026-02-26,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,131.0,3.13,4.3
7802f64c-b,9,d2602518,19660,Spring Water,OUT,2,2026-02-10T03:45:36.000000,2026-03-11,Consumption,Estante,Bebidas,29,A,0.0,0.0,0.0
6afc78d1-a,1,21212184,4920,Seedless Red Grapes,IN,2,2026-04-01T15:47:36.000000,2026-04-08,Purchase,Refrigerador,Frutas y Verduras,7,B,71.0,1.18,17.6
a23f57bd-4,2,ebc9c0fd,5876,Organic Lemon,OUT,1,2026-03-27T17:01:36.000000,2026-03-30,Consumption,Refrigerador,Frutas y Verduras,3,D,300.0,0.0,6.67
29de4208-4,3,491ee275,22035,Organic Whole String Cheese,IN,1,2026-02-15T09:16:36.000000,2026-02-27,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,50.0,1.45,6.25
b7fad212-8,8,40c92dc1,28204,Organic Fuji Apple,OUT,1,2026-04-09T14:38:36.000000,2026-04-12,Consumption,Refrigerador,Frutas y Verduras,3,D,400.0,0.0,90.0
e41bd281-3,5,f635fd11,24964,Organic Garlic,IN,1,2026-02-09T08:24:36.000000,2026-02-16,Purchase,Refrigerador,Frutas y Verduras,7,C,167.0,0.0,33.3
14451a76-0,1,9b5041e6,9076,Blueberries,IN,3,2026-03-09T18:04:36.000000,2026-03-23,Purchase,Despensa,Despensa General,14,B,57.0,0.71,12.1
8b566df0-a,2,de27d134,49235,Organic Half & Half,IN,1,2026-03-27T18:16:36.000000,2026-04-08,Purchase,Refrigerador,Lacteos y Refrigerados,12,B,131.0,3.13,4.3
a7a22515-6,9,61246ea4,21616,Organic Baby Arugula,OUT,1,2026-04-25T01:14:36.000000,2026-04-30,Consumption,Refrigerador,Frutas y Verduras,5,A,25.0,2.82,3.52
9c9cb003-9,6,b406065d,47209,Organic Hass Avocado,IN,3,2026-03-23T18:17:36.000000,2026-03-30,Purchase,Refrigerador,Frutas y Verduras,7,,,1.81,8.32
f00e877d-d,6,61d786f6,21137,Organic Strawberries,OUT,2,2026-02-21T14:03:36.000000,2026-02-21,Consumption,Refrigerador,Frutas y Verduras,0,,,1.43,8.57
eb5ef110-1,8,ebb44887,37646,Organic Gala Apples,OUT,2,2026-02-02T03:44:36.000000,2026-02-08,Consumption,Refrigerador,Frutas y Verduras,6,B,52.0,0.32,14.3
8ccd447f-e,4,afb7a96b,37646,Organic Gala Apples,IN,1,2026-03-19T13:51:36.000000,2026-03-26,Purchase,Refrigerador,Frutas y Verduras,7,B,52.0,0.32,14.3
e031be3e-9,3,1ffcc162,4920,Seedless Red Grapes,OUT,1,2026-03-24T16:25:36.000000,2026-03-26,Consumption,Refrigerador,Frutas y Verduras,2,B,71.0,1.18,17.6
b6d87195-2,0,a9708d12,21903,Organic Baby Spinach,IN,1,2026-04-15T12:55:36.000000,2026-04-22,Purchase,Refrigerador,Frutas y Verduras,7,A,23.0,2.68,3.36
3fda9158-7,2,3f3c2055,45007,Organic Zucchini,IN,3,2026-02-28T12:45:36.000000,2026-03-07,Purchase,Refrigerador,Frutas y Verduras,7,A,21.0,1.05,4.21
58ef5a50-6,8,07880ee6,22935,Organic Yellow Onion,OUT,1,2026-03-19T18:07:36.000000,2026-03-20,Consumption,Refrigerador,Frutas y Verduras,1,A,30.0,0.68,7.43
b37eb8f9-b,1,f8ad84f1,21903,Organic Baby Spinach,IN,1,2026-02-24T09:01:36.000000,2026-03-03,Purchase,Refrigerador,Frutas y Verduras,7,A,23.0,2.68,3.36
0f81aecc-d,2,f16a0368,28204,Organic Fuji Apple,IN,3,2026-03-25T18:20:36.000000,2026-04-01,Purchase,Refrigerador,Frutas y Verduras,7,D,400.0,0.0,90.0
5f64f948-5,3,5de1ae6b,34126,Organic Italian Parsley Bunch,IN,1,2026-04-16T19:22:36.000000,2026-04-23,Purchase,Refrigerador,Frutas y Verduras,7,D,392.0,7.43,76.25
9d7d492f-b,1,cd966183,27966,Organic Raspberries,OUT,1,2026-03-01T23:59:59.000000,2026-02-26,Forced_Waste,Refrigerador,Frutas y Verduras,-3,B,50.0,1.43,12.1
7293b179-8,3,2c93262a,44359,Organic Small Bunch Celery,IN,2,2026-04-20T15:18:36.000000,2026-04-27,Purchase,Refrigerador,Frutas y Verduras,7,D,392.0,7.43,76.25
3842aaf9-e,4,dee36585,27966,Organic Raspberries,OUT,1,2026-02-24T18:17:36.000000,2026-02-22,Waste,Refrigerador,Frutas y Verduras,-2,B,50.0,1.43,12.1
a28fa693-b,5,b0461e81,43352,Raspberries,OUT,1,2026-04-13T23:59:59.000000,2026-04-10,Forced_Waste,Refrigerador,Frutas y Verduras,-3,B,50.0,1.43,12.1
d80eafb9-9,6,1ac04f49,5876,Organic Lemon,IN,1,2026-04-02T11:05:36.000000,2026-04-09,Purchase,Refrigerador,Frutas y Verduras,7,D,300.0,0.0,6.67
6ae05319-0,3,9096e9aa,22035,Organic Whole String Cheese,OUT,1,2026-04-26T23:59:59.000000,2026-04-23,Forced_Waste,Refrigerador,Lacteos y Refrigerados,-3,B,50.0,1.45,6.25
bef1175e-7,4,7deee5d0,43352,Raspberries,IN,3,2026-03-16T13:46:36.000000,2026-03-23,Purchase,Refrigerador,Frutas y Verduras,7,B,50.0,1.43,12.1
1e540555-3,9,8d0bebd1,21903,Organic Baby Spinach,IN,1,2026-03-16T13:10:36.000000,2026-03-23,Purchase,Refrigerador,Frutas y Verduras,7,A,23.0,2.68,3.36
3fc8c971-2,1,e2f172d1,21137,Organic Strawberries,OUT,1,2026-02-23T21:35:36.000000,2026-03-01,Consumption,Refrigerador,Frutas y Verduras,6,,,1.43,8.57
fbbe55cb-9,2,4ab75acd,10749,Organic Red Bell Pepper,OUT,1,2026-04-19T04:49:36.000000,2026-04-25,Consumption,Refrigerador,Frutas y Verduras,6,,,0.896,6.65
c4f68adf-e,1,610e9432,47766,Organic Avocado,OUT,1,2026-02-20T07:02:36.000000,2026-02-25,Consumption,Refrigerador,Frutas y Verduras,5,D,427.0,1.9,7.36
d92ea506-3,1,3e812b9d,47766,Organic Avocado,IN,1,2026-04-12T11:27:36.000000,2026-04-19,Purchase,Refrigerador,Frutas y Verduras,7,D,427.0,1.9,7.36
912be158-d,2,9de080c1,19660,Spring Water,IN,2,2026-02-14T17:47:36.000000,2026-03-16,Purchase,Estante,Bebidas,30,A,0.0,0.0,0.0
555c5271-4,5,1cf156ba,21616,Organic Baby Arugula,OUT,1,2026-03-27T17:52:36.000000,2026-03-25,Waste,Refrigerador,Frutas y Verduras,-2,A,25.0,2.82,3.52
a0d8b60a-a,4,e09bf896,27104,Fresh Cauliflower,OUT,1,2026-04-29T06:40:36.000000,2026-05-01,Consumption,Refrigerador,Frutas y Verduras,2,B,52.0,1.94,5.01
ac4d2ea0-b,3,5d7e5a1a,13176,Bag of Organic Bananas,IN,1,2026-02-26T17:25:36.000000,2026-03-05,Purchase,Refrigerador,Frutas y Verduras,7,D,346.0,3.89,88.3
3ea026c7-7,2,b14b8faf,21137,Organic Strawberries,OUT,1,2026-02-06T15:09:36.000000,2026-02-13,Consumption,Refrigerador,Frutas y Verduras,7,,,1.43,8.57
7dd0e43e-c,5,d417f0a7,40706,Organic Grape Tomatoes,OUT,2,2026-04-16T19:18:36.000000,2026-04-23,Consumption,Refrigerador,Frutas y Verduras,7,A,36.0,1.19,7.14
c3819a2c-2,2,a9c57da9,49683,Cucumber Kirby,OUT,2,2026-03-25T16:05:36.000000,2026-03-30,Consumption,Refrigerador,Frutas y Verduras,5,A,34.0,0.5,6.79
