event_id,household_id,product_id,product_name,action_type,classification,quantity,timestamp,fecha,semana_iso,mes,dia_semana,hora,turno,expiry_date,dias_para_vencer,location,category_name,nutriscore,calories_100g,proteins_100g,carbs_100g,bucket_calorico,is_out,is_in,is_waste,is_forced_waste,is_consumo,is_vencido,flag_riesgo_vencer
11722a5e-d,0,27966,Organic Raspberries,OUT,Consumption,1,2026-03-22 22:52:36,2026-03-22,2026-W12,2026-03,Sunday,22,Noche,2026-03-27,5,Refrigerador,Frutas y Verduras,B,50.0,1.43,12.1,Bajo (<50),1,0,0,0,1,0,0
72e06c32-b,7,5876,Organic Lemon,OUT,Consumption,2,2026-02-24 02:27:36,2026-02-24,2026-W09,2026-02,Tuesday,2,Madrugada,2026-02-27,3,Refrigerador,Frutas y Verduras,D,300.0,0.0,6.67,Alto (150-300),1,0,0,0,1,0,0
d1d9eb4b-2,0,21903,Organic Baby Spinach,IN,Purchase,3,2026-04-27 11:20:36,2026-04-27,2026-W18,2026-04,Monday,11,Mañana,2026-05-04,7,Refrigerador,Frutas y Verduras,A,23.0,2.68,3.36,Bajo (<50),0,1,0,0,0,0,0
bda60c97-7,5,41950,Organic Tomato Cluster,IN,Purchase,2,2026-03-26 22:38:36,2026-03-26,2026-W13,2026-03,Thursday,22,Noche,2026-04-02,7,Refrigerador,Frutas y Verduras,A,28.0,2.98,5.06,Bajo (<50),0,1,0,0,0,0,0
7148080b-c,2,46979,Asparagus,OUT,Consumption,1,2026-04-06 08:16:36,2026-04-06,2026-W15,2026-04,Monday,8,Mañana,2026-04-09,3,Refrigerador,Frutas y Verduras,A,18.0,2.35,3.53,Bajo (<50),1,0,0,0,1,0,0
d38951ee-b,0,27845,Organic Whole Milk,IN,Purchase,3,2026-03-24 18:24:36,2026-03-24,2026-W13,2026-03,Tuesday,18,Noche,2026-04-05,12,Refrigerador,Lacteos y Refrigerados,B,62.0,3.39,5.08,Medio (50-150),0,1,0,0,0,0,0
ac594251-b,4,9076,Blueberries,OUT,Consumption,2,2026-03-09 04:18:36,2026-03-09,2026-W11,2026-03,Monday,4,Madrugada,2026-03-20,11,Despensa,Despensa General,B,57.0,0.71,12.1,Medio (50-150),1,0,0,0,1,0,0
14209ef3-a,9,4605,Yellow Onions,IN,Purchase,3,2026-02-17 14:23:36,2026-02-17,2026-W08,2026-02,Tuesday,14,Tarde,2026-02-24,7,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),0,1,0,0,0,0,0
a4a6d2d6-3,4,19660,Spring Water,IN,Purchase,2,2026-02-20 07:49:36,2026-02-20,2026-W08,2026-02,Friday,7,Mañana,2026-03-22,30,Estante,Bebidas,A,0.0,0.0,0.0,Bajo (<50),0,1,0,0,0,0,0
547f5a4b-f,3,27845,Organic Whole Milk,OUT,Consumption,3,2026-02-26 23:47:36,2026-02-26,2026-W09,2026-02,Thursday,23,Noche,2026-03-04,6,Refrigerador,Lacteos y Refrigerados,B,62.0,3.39,5.08,Medio (50-150),1,0,0,0,1,0,0
ffc3a83b-1,6,22935,Organic Yellow Onion,OUT,Forced_Waste,1,2026-04-02 23:59:59,2026-04-02,2026-W14,2026-04,Thursday,23,Noche,2026-03-30,-3,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,1,1,0,1,0
9532651d-6,2,45066,Honeycrisp Apple,OUT,Forced_Waste,1,2026-03-10 23:59:59,2026-03-10,2026-W11,2026-03,Tuesday,23,Noche,2026-03-07,-3,Refrigerador,Frutas y Verduras,A,2.0,0.0,3.81,Bajo (<50),1,0,1,1,0,1,0
aa775505-2,9,37646,Organic Gala Apples,OUT,Consumption,2,2026-02-20 22:03:36,2026-02-20,2026-W08,2026-02,Friday,22,Noche,2026-02-27,7,Refrigerador,Frutas y Verduras,B,52.0,0.32,14.3,Medio (50-150),1,0,0,0,1,0,0
5c5e8ad7-2,3,26209,Limes,IN,Purchase,3,2026-04-24 14:07:36,2026-04-24,2026-W17,2026-04,Friday,14,Tarde,2026-05-01,7,Refrigerador,Frutas y Verduras,A,30.0,0.0,10.4,Bajo (<50),0,1,0,0,0,0,0
dfda9ab6-e,1,26604,Organic Blackberries,OUT,Consumption,1,2026-04-11 13:22:36,2026-04-11,2026-W15,2026-04,Saturday,13,Tarde,2026-04-15,4,Refrigerador,Frutas y Verduras,B,59.0,1.47,15.4,Medio (50-150),1,0,0,0,1,0,0
b7ec781c-5,5,19057,Organic Large Extra Fancy Fuji Apple,OUT,Consumption,3,2026-02-23 21:47:36,2026-02-23,2026-W09,2026-02,Monday,21,Noche,2026-02-25,2,Refrigerador,Frutas y Verduras,,,0.148,15.7,,1,0,0,0,1,0,1
9846486d-6,5,27086,Half & Half,OUT,Consumption,2,2026-04-14 17:51:36,2026-04-14,2026-W16,2026-04,Tuesday,17,Tarde,2026-04-18,4,Refrigerador,Lacteos y Refrigerados,B,131.0,3.13,4.3,Medio (50-150),1,0,0,0,1,0,0
6695d4ec-2,6,22935,Organic Yellow Onion,OUT,Consumption,1,2026-03-03 13:39:36,2026-03-03,2026-W10,2026-03,Tuesday,13,Tarde,2026-03-04,1,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,0,0,1,0,1
18ee7e03-1,6,47766,Organic Avocado,OUT,Forced_Waste,1,2026-03-10 23:59:59,2026-03-10,2026-W11,2026-03,Tuesday,23,Noche,2026-03-07,-3,Refrigerador,Frutas y Verduras,D,427.0,1.9,7.36,Muy alto (>300),1,0,1,1,0,1,0
dd13c18b-3,7,19057,Organic Large Extra Fancy Fuji Apple,IN,Purchase,1,2026-04-19 07:01:36,2026-04-19,2026-W16,2026-04,Sunday,7,Mañana,2026-04-26,7,Refrigerador,Frutas y Verduras,,,0.148,15.7,,0,1,0,0,0,0,0
bf20eca5-6,9,24852,Banana,IN,Purchase,2,2026-02-16 16:05:36,2026-02-16,2026-W08,2026-02,Monday,16,Tarde,2026-02-23,7,Refrigerador,Frutas y Verduras,D,312.0,12.5,40.6,Muy alto (>300),0,1,0,0,0,0,0
dcdd7d5b-e,4,39877,Organic Granny Smith Apple,OUT,Consumption,1,2026-04-02 07:05:36,2026-04-02,2026-W14,2026-04,Thursday,7,Mañana,2026-04-07,5,Refrigerador,Frutas y Verduras,,,0.266,14.1,,1,0,0,0,1,0,0
f5f7eca6-c,5,37646,Organic Gala Apples,IN,Purchase,2,2026-03-26 22:30:36,2026-03-26,2026-W13,2026-03,Thursday,22,Noche,2026-04-02,7,Refrigerador,Frutas y Verduras,B,52.0,0.32,14.3,Medio (50-150),0,1,0,0,0,0,0
ef030549-f,4,22935,Organic Yellow Onion,OUT,Forced_Waste,1,2026-02-24 23:59:59,2026-02-24,2026-W09,2026-02,Tuesday,23,Noche,2026-02-21,-3,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,1,1,0,1,0
bc1d881e-7,9,21616,Organic Baby Arugula,OUT,Consumption,1,2026-02-16 15:55:36,2026-02-16,2026-W08,2026-02,Monday,15,Tarde,2026-02-19,3,Refrigerador,Frutas y Verduras,A,25.0,2.82,3.52,Bajo (<50),1,0,0,0,1,0,0
9cef6dd8-5,9,8518,Organic Red Onion,IN,Purchase,1,2026-03-29 13:17:36,2026-03-29,2026-W13,2026-03,Sunday,13,Tarde,2026-04-05,7,Refrigerador,Frutas y Verduras,A,30.0,0.68,6.76,Bajo (<50),0,1,0,0,0,0,0
763d42c5-8,1,35951,Organic Unsweetened Almond Milk,OUT,Consumption,3,2026-02-20 22:41:36,2026-02-20,2026-W08,2026-02,Friday,22,Noche,2026-03-01,9,Refrigerador,Lacteos y Refrigerados,A,15.0,0.55,0.34,Bajo (<50),1,0,0,0,1,0,0
95d7e552-6,6,44359,Organic Small Bunch Celery,OUT,Consumption,1,2026-04-30 17:58:36,2026-04-30,2026-W18,2026-04,Thursday,17,Tarde,2026-05-05,5,Refrigerador,Frutas y Verduras,D,392.0,7.43,76.25,Muy alto (>300),1,0,0,0,1,0,0
9882c858-5,4,19057,Organic Large Extra Fancy Fuji Apple,OUT,Forced_Waste,3,2026-02-24 23:59:59,2026-02-24,2026-W09,2026-02,Tuesday,23,Noche,2026-02-21,-3,Refrigerador,Frutas y Verduras,,,0.148,15.7,,1,0,1,1,0,1,0
b5baf97e-9,3,17794,Carrots,OUT,Forced_Waste,1,2026-03-24 23:59:59,2026-03-24,2026-W13,2026-03,Tuesday,23,Noche,2026-03-21,-3,Refrigerador,Frutas y Verduras,A,38.0,1.28,8.97,Bajo (<50),1,0,1,1,0,1,0
ebc3914f-d,4,9076,Blueberries,OUT,Consumption,2,2026-03-24 01:29:36,2026-03-24,2026-W13,2026-03,Tuesday,1,Madrugada,2026-04-02,9,Despensa,Despensa General,B,57.0,0.71,12.1,Medio (50-150),1,0,0,0,1,0,0
e922b531-3,7,49683,Cucumber Kirby,OUT,Consumption,1,2026-04-01 06:53:36,2026-04-01,2026-W14,2026-04,Wednesday,6,Mañana,2026-04-01,0,Refrigerador,Frutas y Verduras,A,34.0,0.5,6.79,Bajo (<50),1,0,0,0,1,0,1
5561f6b1-7,1,49235,Organic Half & Half,IN,Purchase,1,2026-02-23 21:33:36,2026-02-23,2026-W09,2026-02,Monday,21,Noche,2026-03-07,12,Refrigerador,Lacteos y Refrigerados,B,131.0,3.13,4.3,Medio (50-150),0,1,0,0,0,0,0
f420c763-9,2,35951,Organic Unsweetened Almond Milk,IN,Purchase,3,2026-02-28 06:51:36,2026-02-28,2026-W09,2026-02,Saturday,6,Mañana,2026-03-12,12,Refrigerador,Lacteos y Refrigerados,A,15.0,0.55,0.34,Bajo (<50),0,1,0,0,0,0,0
d04b52db-3,9,47626,Large Lemon,OUT,Consumption,2,2026-02-28 19:31:36,2026-02-28,2026-W09,2026-02,Saturday,19,Noche,2026-03-06,6,Refrigerador,Frutas y Verduras,B,55.0,10.7,2.36,Medio (50-150),1,0,0,0,1,0,0
938d040a-6,0,40706,Organic Grape Tomatoes,OUT,Consumption,1,2026-05-01 14:01:36,2026-05-01,2026-W18,2026-05,Friday,14,Tarde,2026-05-08,7,Refrigerador,Frutas y Verduras,A,36.0,1.19,7.14,Bajo (<50),1,0,0,0,1,0,0
dc8b7786-0,1,45007,Organic Zucchini,OUT,Forced_Waste,1,2026-03-18 23:59:59,2026-03-18,2026-W12,2026-03,Wednesday,23,Noche,2026-03-15,-3,Refrigerador,Frutas y Verduras,A,21.0,1.05,4.21,Bajo (<50),1,0,1,1,0,1,0
777b0de9-1,5,41950,Organic Tomato Cluster,IN,Purchase,1,2026-04-03 13:41:36,2026-04-03,2026-W14,2026-04,Friday,13,Tarde,2026-04-10,7,Refrigerador,Frutas y Verduras,A,28.0,2.98,5.06,Bajo (<50),0,1,0,0,0,0,0
08d644c2-9,1,28204,Organic Fuji Apple,IN,Purchase,1,2026-04-20 11:55:36,2026-04-20,2026-W17,2026-04,Monday,11,Mañana,2026-04-27,7,Refrigerador,Frutas y Verduras,D,400.0,0.0,90.0,Muy alto (>300),0,1,0,0,0,0,0
d0322473-b,9,13176,Bag of Organic Bananas,OUT,Forced_Waste,2,2026-03-09 23:59:59,2026-03-09,2026-W11,2026-03,Monday,23,Noche,2026-03-06,-3,Refrigerador,Frutas y Verduras,D,346.0,3.89,88.3,Muy alto (>300),1,0,1,1,0,1,0
2fa9af7a-3,1,42265,Organic Baby Carrots,OUT,Consumption,2,2026-04-28 13:55:36,2026-04-28,2026-W18,2026-04,Tuesday,13,Tarde,2026-05-05,7,Refrigerador,Frutas y Verduras,A,35.0,1.18,8.24,Bajo (<50),1,0,0,0,1,0,0
c67f96bf-2,4,5077,100% Whole Wheat Bread,IN,Purchase,3,2026-02-04 13:29:36,2026-02-04,2026-W06,2026-02,Wednesday,13,Tarde,2026-02-18,14,Despensa,Panaderia y Granos,C,256.0,11.6,48.8,Alto (150-300),0,1,0,0,0,0,0
2a346efe-1,0,4605,Yellow Onions,OUT,Consumption,1,2026-03-26 05:53:36,2026-03-26,2026-W13,2026-03,Thursday,5,Madrugada,2026-03-31,5,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,0,0,1,0,0
a0137dd1-6,0,26209,Limes,OUT,Consumption,1,2026-02-20 05:57:36,2026-02-20,2026-W08,2026-02,Friday,5,Madrugada,2026-02-25,5,Refrigerador,Frutas y Verduras,A,30.0,0.0,10.4,Bajo (<50),1,0,0,0,1,0,0
c178d968-9,7,22935,Organic Yellow Onion,OUT,Consumption,1,2026-03-16 20:37:36,2026-03-16,2026-W12,2026-03,Monday,20,Noche,2026-03-17,1,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,0,0,1,0,1
9f988db5-b,8,21616,Organic Baby Arugula,OUT,Waste,1,2026-03-09 10:40:36,2026-03-09,2026-W11,2026-03,Monday,10,Mañana,2026-03-07,-2,Refrigerador,Frutas y Verduras,A,25.0,2.82,3.52,Bajo (<50),1,0,1,0,0,1,0
9a8b351b-e,8,41950,Organic Tomato Cluster,IN,Purchase,2,2026-04-25 07:42:36,2026-04-25,2026-W17,2026-04,Saturday,7,Mañana,2026-05-02,7,Refrigerador,Frutas y Verduras,A,28.0,2.98,5.06,Bajo (<50),0,1,0,0,0,0,0
edce8bf6-0,2,47766,Organic Avocado,OUT,Forced_Waste,2,2026-03-25 23:59:59,2026-03-25,2026-W13,2026-03,Wednesday,23,Noche,2026-03-22,-3,Refrigerador,Frutas y Verduras,D,427.0,1.9,7.36,Muy alto (>300),1,0,1,1,0,1,0
5bd3d2d3-b,1,19057,Organic Large Extra Fancy Fuji Apple,IN,Purchase,2,2026-02-08 22:26:36,2026-02-08,2026-W06,2026-02,Sunday,22,Noche,2026-02-15,7,Refrigerador,Frutas y Verduras,,,0.148,15.7,,0,1,0,0,0,0,0
e699460a-d,5,49683,Cucumber Kirby,IN,Purchase,3,2026-03-01 20:31:36,2026-03-01,2026-W09,2026-03,Sunday,20,Noche,2026-03-08,7,Refrigerador,Frutas y Verduras,A,34.0,0.5,6.79,Bajo (<50),0,1,0,0,0,0,0
e0cc6197-3,5,9076,Blueberries,IN,Purchase,1,2026-04-18 06:50:36,2026-04-18,2026-W16,2026-04,Saturday,6,Mañana,2026-05-02,14,Despensa,Despensa General,B,57.0,0.71,12.1,Medio (50-150),0,1,0,0,0,0,0
e25f1d76-0,1,16797,Strawberries,IN,Purchase,2,2026-02-24 09:32:36,2026-02-24,2026-W09,2026-02,Tuesday,9,Mañana,2026-03-03,7,Refrigerador,Frutas y Verduras,,,1.43,8.57,,0,1,0,0,0,0,0
ed292c60-1,7,4920,Seedless Red Grapes,OUT,Consumption,1,2026-03-13 17:04:36,2026-03-13,2026-W11,2026-03,Friday,17,Tarde,2026-03-16,3,Refrigerador,Frutas y Verduras,B,71.0,1.18,17.6,Medio (50-150),1,0,0,0,1,0,0
9c983c57-7,1,46979,Asparagus,OUT,Forced_Waste,1,2026-04-20 23:59:59,2026-04-20,2026-W17,2026-04,Monday,23,Noche,2026-04-17,-3,Refrigerador,Frutas y Verduras,A,18.0,2.35,3.53,Bajo (<50),1,0,1,1,0,1,0
1cd4bf12-3,2,43352,Raspberries,IN,Purchase,1,2026-02-21 14:15:36,2026-02-21,2026-W08,2026-02,Saturday,14,Tarde,2026-02-28,7,Refrigerador,Frutas y Verduras,B,50.0,1.43,12.1,Bajo (<50),0,1,0,0,0,0,0
c196e2bc-f,6,21616,Organic Baby Arugula,OUT,Consumption,1,2026-03-11 21:23:36,2026-03-11,2026-W11,2026-03,Wednesday,21,Noche,2026-03-11,0,Refrigerador,Frutas y Verduras,A,25.0,2.82,3.52,Bajo (<50),1,0,0,0,1,0,1
314e7e65-e,7,44359,Organic Small Bunch Celery,OUT,Consumption,1,2026-04-16 14:25:36,2026-04-16,2026-W16,2026-04,Thursday,14,Tarde,2026-04-20,4,Refrigerador,Frutas y Verduras,D,392.0,7.43,76.25,Muy alto (>300),1,0,0,0,1,0,0
3efa6084-0,5,10749,Organic Red Bell Pepper,IN,Purchase,1,2026-03-23 09:22:36,2026-03-23,2026-W13,2026-03,Monday,9,Mañana,2026-03-30,7,Refrigerador,Frutas y Verduras,,,0.896,6.65,,0,1,0,0,0,0,0
8dafc8a4-c,6,41950,Organic Tomato Cluster,IN,Purchase,1,2026-04-05 21:47:36,2026-04-05,2026-W14,2026-04,Sunday,21,Noche,2026-04-12,7,Refrigerador,Frutas y Verduras,A,28.0,2.98,5.06,Bajo (<50),0,1,0,0,0,0,0
4a28535d-4,4,16797,Strawberries,IN,Purchase,1,2026-03-04 10:05:36,2026-03-04,2026-W10,2026-03,Wednesday,10,Mañana,2026-03-11,7,Refrigerador,Frutas y Verduras,,,1.43,8.57,,0,1,0,0,0,0,0
e10d98e3-8,5,27966,Organic Raspberries,IN,Purchase,2,2026-02-10 11:54:36,2026-02-10,2026-W07,2026-02,Tuesday,11,Mañana,2026-02-17,7,Refrigerador,Frutas y Verduras,B,50.0,1.43,12.1,Bajo (<50),0,1,0,0,0,0,0
69a55a7d-b,8,49235,Organic Half & Half,IN,Purchase,3,2026-04-01 17:22:36,2026-04-01,2026-W14,2026-04,Wednesday,17,Tarde,2026-04-13,12,Refrigerador,Lacteos y Refrigerados,B,131.0,3.13,4.3,Medio (50-150),0,1,0,0,0,0,0
0223b39f-8,7,44359,Organic Small Bunch Celery,IN,Purchase,1,2026-03-30 09:43:36,2026-03-30,2026-W14,2026-03,Monday,9,Mañana,2026-04-06,7,Refrigerador,Frutas y Verduras,D,392.0,7.43,76.25,Muy alto (>300),0,1,0,0,0,0,0
4a34373a-2,3,5876,Organic Lemon,IN,Purchase,2,2026-04-03 10:14:36,2026-04-03,2026-W14,2026-04,Friday,10,Mañana,2026-04-10,7,Refrigerador,Frutas y Verduras,D,300.0,0.0,6.67,Alto (150-300),0,1,0,0,0,0,0
1c48c4ef-1,7,4920,Seedless Red Grapes,OUT,Consumption,1,2026-03-07 19:54:36,2026-03-07,2026-W10,2026-03,Saturday,19,Noche,2026-03-10,3,Refrigerador,Frutas y Verduras,B,71.0,1.18,17.6,Medio (50-150),1,0,0,0,1,0,0
221e2b46-c,6,4920,Seedless Red Grapes,IN,Purchase,3,2026-03-13 14:49:36,2026-03-13,2026-W11,2026-03,Friday,14,Tarde,2026-03-20,7,Refrigerador,Frutas y Verduras,B,71.0,1.18,17.6,Medio (50-150),0,1,0,0,0,0,0
fafc839e-3,8,27104,Fresh Cauliflower,IN,Purchase,1,2026-04-06 13:59:36,2026-04-06,2026-W15,2026-04,Monday,13,Tarde,2026-04-13,7,Refrigerador,Frutas y Verduras,B,52.0,1.94,5.01,Medio (50-150),0,1,0,0,0,0,0
50e87860-b,4,19057,Organic Large Extra Fancy Fuji Apple,OUT,Waste,2,2026-02-17 10:55:36,2026-02-17,2026-W08,2026-02,Tuesday,10,Mañana,2026-02-16,-1,Refrigerador,Frutas y Verduras,,,0.148,15.7,,1,0,1,0,0,1,0
730a60d6-f,2,31717,Organic Cilantro,IN,Purchase,2,2026-02-21 20:03:36,2026-02-21,2026-W08,2026-02,Saturday,20,Noche,2026-02-28,7,Refrigerador,Frutas y Verduras,A,0.0,0.0,0.0,Bajo (<50),0,1,0,0,0,0,0
f41397da-4,3,24964,Organic Garlic,OUT,Consumption,1,2026-04-14 06:39:36,2026-04-14,2026-W16,2026-04,Tuesday,6,Mañana,2026-04-19,5,Refrigerador,Frutas y Verduras,C,167.0,0.0,33.3,Alto (150-300),1,0,0,0,1,0,0
04924023-2,5,24964,Organic Garlic,OUT,Forced_Waste,1,2026-02-11 23:59:59,2026-02-11,2026-W07,2026-02,Wednesday,23,Noche,2026-02-08,-3,Refrigerador,Frutas y Verduras,C,167.0,0.0,33.3,Alto (150-300),1,0,1,1,0,1,0
c776715a-e,1,45007,Organic Zucchini,IN,Purchase,3,2026-02-17 00:57:36,2026-02-17,2026-W08,2026-02,Tuesday,0,Madrugada,2026-02-24,7,Refrigerador,Frutas y Verduras,A,21.0,1.05,4.21,Bajo (<50),0,1,0,0,0,0,0
13599cb8-c,9,45066,Honeycrisp Apple,IN,Purchase,1,2026-03-09 12:14:36,2026-03-09,2026-W11,2026-03,Monday,12,Tarde,2026-03-16,7,Refrigerador,Frutas y Verduras,A,2.0,0.0,3.81,Bajo (<50),0,1,0,0,0,0,0
9229f95b-7,6,16797,Strawberries,IN,Purchase,3,2026-05-01 11:31:36,2026-05-01,2026-W18,2026-05,Friday,11,Mañana,2026-05-08,7,Refrigerador,Frutas y Verduras,,,1.43,8.57,,0,1,0,0,0,0,0
942b1f9b-b,7,24964,Organic Garlic,IN,Purchase,1,2026-04-02 23:25:36,2026-04-02,2026-W14,2026-04,Thursday,23,Noche,2026-04-09,7,Refrigerador,Frutas y Verduras,C,167.0,0.0,33.3,Alto (150-300),0,1,0,0,0,0,0
31b725ba-e,2,4605,Yellow Onions,OUT,Consumption,2,2026-04-13 23:26:36,2026-04-13,2026-W16,2026-04,Monday,23,Noche,2026-04-19,6,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,0,0,1,0,0
d5f5708c-8,9,45007,Organic Zucchini,OUT,Consumption,1,2026-03-04 15:57:36,2026-03-04,2026-W10,2026-03,Wednesday,15,Tarde,2026-03-04,0,Refrigerador,Frutas y Verduras,A,21.0,1.05,4.21,Bajo (<50),1,0,0,0,1,0,1
35932327-1,6,4605,Yellow Onions,OUT,Forced_Waste,1,2026-04-06 23:59:59,2026-04-06,2026-W15,2026-04,Monday,23,Noche,2026-04-03,-3,Refrigerador,Frutas y Verduras,A,30.0,0.68,7.43,Bajo (<50),1,0,1,1,0,1,0
c97f9086-e,6,45066,Honeycrisp Apple,IN,Purchase,1,2026-03-26 16:25:36,2026-03-26,2026-W13,2026-03,Thursday,16,Tarde,2026-04-02,7,Refrigerador,Frutas y Verduras,A,2.0,0.0,3.81,Bajo (<50),0,1,0,0,0,0,0
1f16280d-c,4,5876,Organic Lemon,IN,Purchase,1,2026-02-20 13:08:36,2026-02-20,2026-W08,2026-02,Friday,13,Tarde,2026-02-27,7,Refrigerador,Frutas y Verduras,D,300.0,0.0,6.67,Alto (150-300),0,1,0,0,0,0,0
44c7a45a-0,7,16797,Strawberries,IN,Purchase,2,2026-02-27 13:53:36,2026-02-27,2026-W09,2026-02,Friday,13,Tarde,2026-03-06,7,Refrigerador,Frutas y Verduras,,,1.43,8.57,,0,1,0,0,0,0,0
3e4e0196-0,8,35951,Organic Unsweetened Almond Milk,IN,Purchase,1,2026-03-19 07:44:36,2026-03-19,2026-W12,2026-03,Thursday,7,Mañana,2026-03-31,12,Refrigerador,Lacteos y Refrigerados,A,15.0,0.55,0.34,Bajo (<50),0,1,0,0,0,0,0
6d979e91-1,4,17794,Carrots,OUT,Forced_Waste,1,2026-03-09 23:59:59,2026-03-09,2026-W11,2026-03,Monday,23,Noche,2026-03-06,-3,Refrigerador,Frutas y Verduras,A,38.0,1.28,8.97,Bajo (<50),1,0,1,1,0,1,0
685c30b3-4,2,13176,Bag of Organic Bananas,OUT,Forced_Waste,1,2026-03-09 23:59:59,2026-03-09,2026-W11,2026-03,Monday,23,Noche,2026-03-06,-3,Refrigerador,Frutas y Verduras,D,346.0,3.89,88.3,Muy alto (>300),1,0,1,1,0,1,0
3acddc30-3,1,16797,Strawberries,OUT,Consumption,2,2026-04-16 16:11:36,2026-04-16,2026-W16,2026-04,Thursday,16,Tarde,2026-04-19,3,Refrigerador,Frutas y Verduras,,,1.43,8.57,,1,0,0,0,1,0,0
a083c648-0,3,45007,Organic Zucchini,IN,Purchase,1,2026-03-31 11:40:36,2026-03-31,2026-W14,2026-03,Tuesday,11,Mañana,2026-04-07,7,Refrigerador,Frutas y Verduras,A,21.0,1.05,4.21,Bajo (<50),0,1,0,0,0,0,0
bf954369-6,8,8518,Organic Red Onion,IN,Purchase,3,2026-03-19 07:51:36,2026-03-19,2026-W12,2026-03,Thursday,7,Mañana,2026-03-26,7,Refrigerador,Frutas y Verduras,A,30.0,0.68,6.76,Bajo (<50),0,1,0,0,0,0,0
d68a6575-c,5,13176,Bag of Organic Bananas,OUT,Consumption,1,2026-03-15 16:52:36,2026-03-15,2026-W11,2026-03,Sunday,16,Tarde,2026-03-20,5,Refrigerador,Frutas y Verduras,D,346.0,3.89,88.3,Muy alto (>300),1,0,0,0,1,0,0
cdcd85de-4,4,44632,Sparkling Water Grapefruit,OUT,Consumption,1,2026-03-24 03:15:36,2026-03-24,2026-W13,2026-03,Tuesday,3,Madrugada,2026-04-10,17,Estante,Bebidas,A,36.0,0.58,9.15,Bajo (<50),1,0,0,0,1,0,0
